Linux 5.14.0-611.34.1.el9_7.x86_64 (benchmark-server) 	08/29/26 	_x86_64_	(12 CPU)

05:12:59     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
05:13:00     all    0.00    0.00    0.08    0.00    0.00    0.00    0.00    0.00    0.00   99.92
05:13:00       0    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:13:00       1    0.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00    0.00   99.00
05:13:00       2    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:13:00       3    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:13:00       4    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:13:00       5    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:13:00       6    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:13:00       7    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:13:00       8    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:13:00       9    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:13:00      10    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:13:00      11    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00

05:13:00     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
05:13:01     all    0.17    0.00    0.33    0.00    0.00    0.00    0.00    0.00    0.00   99.50
05:13:01       0    0.00    0.00    0.99    0.00    0.00    0.00    0.00    0.00    0.00   99.01
05:13:01       1    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:13:01       2    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:13:01       3    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:13:01       4    1.01    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   98.99
05:13:01       5    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:13:01       6    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:13:01       7    0.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00    0.00   99.00
05:13:01       8    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:13:01       9    0.00    0.00    0.99    0.00    0.00    0.00    0.00    0.00    0.00   99.01
05:13:01      10    0.99    0.00    0.99    0.00    0.00    0.00    0.00    0.00    0.00   98.02
05:13:01      11    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00

05:13:01     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
05:13:02     all    7.53    0.00    5.10    0.00    0.00    0.08    0.00    0.00    0.00   87.29
05:13:02       0    3.00    0.00    9.00    0.00    0.00    1.00    0.00    0.00    0.00   87.00
05:13:02       1    3.03    0.00    4.04    0.00    0.00    0.00    0.00    0.00    0.00   92.93
05:13:02       2    1.00    0.00    4.00    0.00    0.00    0.00    0.00    0.00    0.00   95.00
05:13:02       3    2.02    0.00    4.04    0.00    0.00    0.00    0.00    0.00    0.00   93.94
05:13:02       4   20.00    0.00    7.00    0.00    0.00    0.00    0.00    0.00    0.00   73.00
05:13:02       5    3.00    0.00    2.00    0.00    0.00    0.00    0.00    0.00    0.00   95.00
05:13:02       6    2.97    0.00    2.97    0.00    0.00    0.00    0.00    0.00    0.00   94.06
05:13:02       7    6.06    0.00    4.04    0.00    0.00    0.00    0.00    0.00    0.00   89.90
05:13:02       8    9.00    0.00    4.00    0.00    0.00    0.00    0.00    0.00    0.00   87.00
05:13:02       9   28.28    0.00    8.08    0.00    0.00    0.00    0.00    0.00    0.00   63.64
05:13:02      10    1.01    0.00    5.05    0.00    0.00    0.00    0.00    0.00    0.00   93.94
05:13:02      11   11.00    0.00    7.00    0.00    0.00    0.00    0.00    0.00    0.00   82.00

05:13:02     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
05:13:03     all    1.41    0.00    3.00    0.17    0.17    0.17    0.00    0.00    0.00   95.09
05:13:03       0    0.99    0.00    3.96    0.00    0.00    0.00    0.00    0.00    0.00   95.05
05:13:03       1    0.98    0.00    4.90    0.98    0.98    0.98    0.00    0.00    0.00   91.18
05:13:03       2    1.00    0.00    3.00    1.00    0.00    0.00    0.00    0.00    0.00   95.00
05:13:03       3    0.00    0.00    4.00    0.00    0.00    0.00    0.00    0.00    0.00   96.00
05:13:03       4    3.96    0.00    4.95    0.00    0.99    0.00    0.00    0.00    0.00   90.10
05:13:03       5    0.00    0.00    2.00    0.00    0.00    0.00    0.00    0.00    0.00   98.00
05:13:03       6    0.00    0.00    1.00    0.00    0.00    1.00    0.00    0.00    0.00   98.00
05:13:03       7    0.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00    0.00   99.00
05:13:03       8    0.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00    0.00   99.00
05:13:03       9    1.01    0.00    3.03    0.00    0.00    0.00    0.00    0.00    0.00   95.96
05:13:03      10    8.00    0.00    5.00    0.00    0.00    0.00    0.00    0.00    0.00   87.00
05:13:03      11    1.01    0.00    2.02    0.00    0.00    0.00    0.00    0.00    0.00   96.97

05:13:03     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
05:13:04     all    1.92    0.00    3.17    0.00    0.00    0.17    0.00    0.00    0.00   94.75
05:13:04       0    1.01    0.00    4.04    0.00    0.00    0.00    0.00    0.00    0.00   94.95
05:13:04       1    0.00    0.00    3.03    0.00    0.00    0.00    0.00    0.00    0.00   96.97
05:13:04       2    0.00    0.00    1.01    0.00    0.00    0.00    0.00    0.00    0.00   98.99
05:13:04       3    1.00    0.00    5.00    0.00    0.00    0.00    0.00    0.00    0.00   94.00
