Linux 5.14.0-611.34.1.el9_7.x86_64 (benchmark-server) 	08/29/26 	_x86_64_	(12 CPU)

03:53:53     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
03:53:54     all    2.43    0.00    0.33    0.00    0.08    0.00    0.00    0.00    0.00   97.15
03:53:54       0    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
03:53:54       1    4.95    0.00    0.99    0.00    0.00    0.00    0.00    0.00    0.00   94.06
03:53:54       2    2.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   98.00
03:53:54       3    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
03:53:54       4    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
03:53:54       5    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
03:53:54       6    8.00    0.00    1.00    0.00    1.00    0.00    0.00    0.00    0.00   90.00
03:53:54       7    3.03    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   96.97
03:53:54       8    3.03    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   96.97
03:53:54       9    5.05    0.00    1.01    0.00    0.00    0.00    0.00    0.00    0.00   93.94
03:53:54      10    3.03    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   96.97
03:53:54      11    0.00    0.00    1.01    0.00    0.00    0.00    0.00    0.00    0.00   98.99

03:53:54     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
03:53:55     all    2.09    0.00    0.50    0.00    0.00    0.00    0.00    0.00    0.00   97.41
03:53:55       0    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
03:53:55       1    1.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   99.00
03:53:55       2    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
03:53:55       3    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
03:53:55       4    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
03:53:55       5    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
03:53:55       6    6.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00    0.00   93.00
03:53:55       7    0.99    0.00    0.99    0.00    0.00    0.00    0.00    0.00    0.00   98.02
03:53:55       8    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
03:53:55       9    7.07    0.00    2.02    0.00    0.00    0.00    0.00    0.00    0.00   90.91
03:53:55      10    5.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00    0.00   94.00
03:53:55      11    5.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00    0.00   94.00

